,ip,port,place
276,84.95.240.152,80,重庆市市
277,136.226.32.233,443,云南省昭通市
278,181.177.69.117,3199,上海市上海周边
279,144.172.104.99,3199,天津市天津周边
280,60.188.5.227,80,四川省成都市
281,183.247.221.119,30001,浙江省嘉兴市
282,34.82.82.224,8888,山西省晋城市
283,203.24.103.30,80,福建省莆田市
284,202.4.186.76,80,湖北省宜昌市
285,203.32.121.97,80,新疆维吾尔自治区哈密地区
286,18.116.189.103,80,宁夏回族自治区石嘴山市
287,185.195.104.72,12333,广西壮族自治区梧州市
288,47.94.57.119,80,黑龙江省鸡西市
289,170.64.150.114,80,陕西省铜川市
290,104.17.209.9,80,贵州省安顺市
291,49.89.103.182,8089,甘肃省嘉峪关市
292,185.195.106.231,23445,北京市市辖区
293,185.195.107.135,23445,四川省自贡市
294,210.211.122.169,8080,新疆维吾尔自治区昌吉回族自治州
295,185.195.106.200,23445,江西省景德镇市
296,162.159.242.66,80,湖南省衡阳市
297,139.64.135.45,80,黑龙江省鸡西市
298,172.67.160.226,80,广西壮族自治区南宁市
299,189.11.248.162,8080,宁夏回族自治区吴忠市
300,172.67.117.192,80,湖北省十堰市
301,87.103.173.158,8080,甘肃省嘉峪关市
302,104.16.7.80,80,福建省厦门市
303,172.67.181.170,80,宁夏回族自治区固原市
304,128.199.4.176,80,河北省邢台市
305,124.71.157.181,10443,河北省邯郸市
306,194.87.57.226,3128,浙江省杭州市
307,111.224.11.203,8089,浙江省湖州市
308,8.213.128.6,443,青海省海北藏族自治州
309,91.202.230.219,8080,天津市
310,43.153.181.217,80,西藏自治区山南地区
311,117.40.176.42,9091,福建省泉州市
312,172.67.183.130,80,甘肃省兰州市
313,52.54.58.234,80,云南省昭通市
314,185.195.106.250,23445,上海市
315,85.214.136.215,80,江苏省无锡市
316,120.202.128.112,9002,山西省长治市
317,78.46.200.37,80,海南省
318,104.20.0.87,80,新疆维吾尔自治区乌鲁木齐市
319,104.239.113.74,3199,陕西省宝鸡市
320,185.169.232.235,12000,河南省安阳市
321,1.1.1.20,80,贵州省安顺市
322,104.21.19.4,80,湖北省宜昌市
323,150.242.249.79,80,贵州省遵义市
324,34.85.18.251,8080,青海省西宁市
325,117.121.224.50,80,河北省邯郸市
326,203.28.8.252,80,云南省玉溪市
327,8.209.253.237,9002,上海市
328,104.19.186.16,80,广西壮族自治区南宁市
329,176.57.184.213,80,宁夏回族自治区吴忠市
330,203.24.109.143,80,广东省珠海市
331,136.226.18.238,80,广西壮族自治区梧州市
332,85.159.214.61,80,辽宁省鞍山市
333,212.101.74.75,443,江西省新余市
334,185.245.81.158,12444,浙江省温州市
335,104.129.202.169,8800,河南省平顶山市
336,203.30.191.46,80,天津市
337,198.12.148.76,80,四川省自贡市
338,104.129.198.133,8800,甘肃省嘉峪关市
339,203.24.103.237,80,黑龙江省双鸭山市
340,103.141.142.57,10035,宁夏回族自治区固原市
341,47.101.153.1,80,广东省珠海市
342,104.129.194.100,8800,河南省开封市
343,144.48.62.172,12000,湖南省邵阳市
344,27.72.149.205,8080,河北省邯郸市
345,185.195.105.164,12333,浙江省嘉兴市
346,185.245.81.140,12444,新疆维吾尔自治区乌鲁木齐市
347,185.162.231.106,80,内蒙古自治区包头市
348,206.81.11.75,80,河南省开封市
349,104.129.192.101,8800,四川省泸州市
350,45.8.104.9,80,四川省德阳市
351,68.183.128.249,80,天津市
352,20.239.2.157,80,江西省新余市
353,212.162.68.121,80,西藏自治区昌都地区
354,185.195.107.114,23445,云南省曲靖市
355,104.19.142.56,80,西藏自治区那曲地区
356,95.111.236.114,80,河南省洛阳市
357,45.137.40.69,8622,陕西省咸阳市
358,80.179.140.189,80,广东省汕头市
359,198.255.161.102,80,安徽省马鞍山市
360,185.174.109.250,41002,北京市市辖区
361,104.18.16.111,80,吉林省辽源市
362,202.162.216.186,80,黑龙江省双鸭山市
363,109.71.66.50,80,山西省大同市
364,52.43.43.201,80,新疆维吾尔自治区昌吉回族自治州
365,124.70.205.56,50001,安徽省马鞍山市
366,172.67.22.228,80,江西省萍乡市
367,110.242.49.227,8080,湖北省十堰市
368,156.38.221.194,80,海南省
369,216.10.0.43,3199,山西省阳泉市
370,103.81.194.68,80,新疆维吾尔自治区哈密地区
371,185.195.105.78,12333,北京市市辖区
372,103.124.136.14,80,山东省东营市
373,104.18.9.98,80,广东省珠海市
374,203.34.28.67,80,甘肃省金昌市
375,185.245.81.185,12444,江西省九江市
376,90.145.221.186,80,吉林省长春市
377,104.129.192.183,8800,北京市
378,51.222.158.127,80,天津市
379,104.26.14.126,80,江苏省南京市
380,109.254.75.200,9090,黑龙江省双鸭山市
381,202.72.220.83,80,上海市
382,162.159.242.62,80,湖北省襄樊市
383,116.203.193.173,80,宁夏回族自治区石嘴山市
384,95.211.4.70,80,山东省东营市
385,5.61.38.247,3128,福建省三明市
386,83.136.233.113,80,上海市
387,163.172.28.22,80,江苏省常州市
388,104.248.153.6,80,天津市
389,172.67.181.113,80,西藏自治区那曲地区
390,117.160.250.133,80,山东省济南市
391,185.193.75.155,3199,新疆维吾尔自治区吐鲁番地区
392,104.129.202.95,8800,四川省攀枝花市
393,18.191.216.4,80,安徽省芜湖市
394,47.253.214.60,8080,海南省海口市
395,104.20.149.112,80,山西省晋城市
